gen,mean_var_y,mean_h2_true,mean_rg_true,mean_he_h2_full,mean_he_rg_full,mean_he_h2_unrel,mean_he_rg_unrel,n_unrel,scenario,seed
1,0.9884251154305714,0.49500109012971427,-0.002877053901104242,0.491651580580929,-0.0014439420343570972,,,0,RM,4
2,0.9884574913854198,0.49452181087565894,0.00026638839081246344,0.4964628525706015,0.0022873073290920133,,,0,RM,4
3,0.9878516955198403,0.49371537636794366,-0.0036389892728796113,0.4931644064285666,-0.006082199541971294,,,0,RM,4
4,0.9879292152272903,0.4932369947332388,-0.000743044832290483,0.48936476776339816,0.001900537205309845,,,0,RM,4
5,0.9877186452996046,0.4935369223822713,-0.003016206443628852,0.48911241908224773,-0.0010511016423630053,0.4867619625870572,-0.0017191459802609259,16000,RM,4
0,0.9965977269006752,0.49487345615351364,-0.0016793073705733332,0.4965594949796642,-0.00038913246223368193,,,0,RM,5
1,0.9939890089934582,0.49528379195047123,-0.0031700243095806936,0.49369887677109825,-0.0013187143906751818,,,0,RM,5
2,0.9908276104360016,0.4956663855181871,0.0006016641660523076,0.49100046559912525,-0.001322065340398508,,,0,RM,5
3,0.9911071805300822,0.49674785575445995,-3.410497253977067e-05,0.4954484699036885,0.0024544379535086877,,,0,RM,5
4,0.9893175625343682,0.4978935964531437,-0.00027131286536336496,0.49634436622679357,0.001560954695710663,,,0,RM,5
5,0.9904161643358853,0.5008116956526241,-0.0021801217740018758,0.49827003770307554,-0.0045944682868435446,0.49855159422580125,-0.003904700903461604,16000,RM,5
0,0.9953618534279103,0.5016439919730665,-0.009670282786525361,0.4998508932170428,-0.008361149697621336,,,0,RM+VT,1
1,1.0713896940242795,0.4634205036442477,-0.012357103800758223,0.5376047237718853,0.13222236317649222,,,0,RM+VT,1
2,1.1165855476779374,0.45015471209668406,-0.011178260401372497,0.558793673131629,0.17292029692048372,,,0,RM+VT,1
3,1.1229434791732213,0.4486477710006347,-0.013436845432332322,0.5619160272632734,0.18608843366818117,,,0,RM+VT,1
4,1.1178932785451816,0.4454577396704698,-0.011637816678830197,0.5536067385997148,0.19040653427263918,,,0,RM+VT,1
5,1.1169614483160342,0.44551890612343137,-0.009318527009376031,0.5533250084394422,0.20352879223356748,0.5509209807482331,0.19778699999824556,16000,RM+VT,1
0,0.9887247784078592,0.5000361252486119,-0.004253254722168542,0.4999627886673186,-0.005721403286000485,,,0,RM+VT,2
1,1.0720855120099984,0.46096491588039923,-0.003951674914532107,0.5468423680789005,0.14092388615118973,,,0,RM+VT,2
2,1.109542301217448,0.4473356482276677,-0.0038602419162986636,0.5591658230572432,0.18680847227270234,,,0,RM+VT,2
3,1.119800204828278,0.442527143933804,-0.004747203897837284,0.5603595695713107,0.199676221697553,,,0,RM+VT,2
4,1.120591718272188,0.43851812830522896,-0.0038267772356451535,0.5517984779739278,0.20272980367394228,,,0,RM+VT,2
5,1.1121288480895544,0.43913057165501523,-0.004877259269852252,0.5497621368585651,0.20397310715977762,0.5432617007382063,0.19010359938805235,16000,RM+VT,2
0,0.9915757580084845,0.4942139926730995,0.003822963414743917,0.49270258159312974,0.007443774066414291,,,0,RM+VT,3
1,1.0712579122155115,0.45534102177303737,0.0001744881396585492,0.5403103764681935,0.15083046405863176,,,0,RM+VT,3
2,1.102631615643013,0.4438454024608961,-0.0009701217739788031,0.5510557055364181,0.1928420281328786,,,0,RM+VT,3
3,1.1117580634398319,0.4416515467610337,-0.0033431695357373933,0.5592401747014721,0.19853091716084706,,,0,RM+VT,3
4,1.1225994945027664,0.43546539136757917,-0.0003904593412590505,0.5575848769906762,0.20844984354256885,,,0,RM+VT,3
5,1.1154001029970642,0.4375792266393791,0.0011488200443365085,0.552275139941783,0.21766790915786313,0.5438902556156261,0.21377164986153724,16000,RM+VT,3
0,0.9885616642691746,0.4942662103048151,0.0006000316327613589,0.49480738651995654,0.004913501505491627,,,0,RM+VT,4
1,1.0670344769469942,0.457151150467025,0.0023576828315509143,0.5391610323660029,0.15717203443461952,,,0,RM+VT,4
2,1.1040335040360225,0.4435762758157879,0.0011644232789813603,0.5534914034571747,0.20075870465746962,,,0,RM+VT,4
3,1.1169247550225614,0.43861116713064535,0.0001045594203436558,0.5564571455001179,0.2122290924110704,,,0,RM+VT,4
4,1.118571586381565,0.4378668974126068,-0.0005603028126705992,0.5558086103543773,0.213154917805855,,,0,RM+VT,4
5,1.1251097015891347,0.43386301024985574,0.0022480832076967514,0.5589133054705095,0.2205034953468224,0.5557627522680646,0.21991054837975246,16000,RM+VT,4
0,0.9900031171928088,0.4987783239755334,-0.005461903640862841,0.49558630265847714,-0.00566922392221152,,,0,RM+VT,5
1,1.0644596493496,0.46318272876311417,-0.0066918861822021,0.537141336518034,0.1396185413046413,,,0,RM+VT,5
2,1.106899644236182,0.4474244014413077,-0.003976424813627206,0.5556265819535731,0.19093554238949367,,,0,RM+VT,5
3,1.123016275687837,0.4429940143744009,-0.001906985003820115,0.5628103325533054,0.2066205727978015,,,0,RM+VT,5
4,1.1322548700549846,0.4382384686492021,0.00031834230470394203,0.5612313171968221,0.2231827369968566,,,0,RM+VT,5
5,1.1247547767969799,0.44004322628184783,-0.0015147581587198395,0.5648462114520857,0.21659120013573796,0.5527816403782934,0.20091242359918207,16000,RM+VT,5
0,1.001659360003209,0.5020218582252498,-0.00944783139856418,0.5048366621584407,-0.005508624468867835,,,0,5xAM,1
