generation,h2_HE_ADHD,h2_HE_ALC,h2_HE_ANX,h2_HE_BIP,h2_HE_MDD,h2_HE_SCZ,h2_HE_ADHD.dx,h2_HE_ALC.dx,h2_HE_ANX.dx,h2_HE_BIP.dx,h2_HE_MDD.dx,h2_HE_SCZ.dx,rg_liab_ADHD_ALC,rg_liab_ADHD_ANX,rg_liab_ADHD_BIP,rg_liab_ADHD_MDD,rg_liab_ADHD_SCZ,rg_liab_ALC_ANX,rg_liab_ALC_BIP,rg_liab_ALC_MDD,rg_liab_ALC_SCZ,rg_liab_ANX_BIP,rg_liab_ANX_MDD,rg_liab_ANX_SCZ,rg_liab_BIP_MDD,rg_liab_BIP_SCZ,rg_liab_MDD_SCZ,rg_dx_ADHD_ALC,rg_dx_ADHD_ANX,rg_dx_ADHD_BIP,rg_dx_ADHD_MDD,rg_dx_ADHD_SCZ,rg_dx_ALC_ANX,rg_dx_ALC_BIP,rg_dx_ALC_MDD,rg_dx_ALC_SCZ,rg_dx_ANX_BIP,rg_dx_ANX_MDD,rg_dx_ANX_SCZ,rg_dx_BIP_MDD,rg_dx_BIP_SCZ,rg_dx_MDD_SCZ,seed
0,0.6150976291875361,0.41497747283841074,0.5860150226361476,0.49886208849909447,0.25702693608343957,0.5943849709232547,0.1938662837607372,0.22985138381234582,0.34788402373478594,0.0717091519169058,0.10747813259644352,0.11089149590878228,-0.04397764058849771,0.04892632063902192,0.018034688194916514,-0.003585364113070462,-0.019172285932172742,0.044122719451709994,0.01933928955585599,0.03858009042281111,-0.005120065663382292,0.00970553931044454,-0.004541850487183952,0.025328615935074808,-0.031197947743025277,-0.018197481479059776,-0.006128721547791494,-0.0542133222074493,0.09179346332731562,-0.013360920685956566,0.023989404347408153,-0.041031354847384925,0.040885684878307745,0.016282369056497152,0.06299167993039641,-0.0054341736569991144,0.08914060511904372,0.0021658558806078964,0.032780298389305906,-0.10652513244047883,-0.0037205446929503253,0.012599896572333657,1
1,0.7072134980549581,0.45173937033737693,0.6441502889038997,0.5433520656577937,0.2483559862262109,0.6628837984260453,0.23196829305406455,0.26016893427510046,0.3944591782879727,0.08440757238324181,0.10673762879156722,0.12368841885564301,0.053488133102297546,0.06416443280583657,0.07756819869387367,0.029177891659753843,0.04135005036389762,0.0442390877315713,0.04199939484219907,0.022057207022392344,0.02261303496922923,0.06658282314629341,0.06815081967072381,0.10730616143510144,0.04185328866394105,0.04905222761611031,0.05563291497669291,0.042238128882563605,0.05131088691777875,0.049968898548420876,0.016185021745471106,0.0018427555901989853,0.05264176338251381,0.012941295517314934,0.03456475438796838,0.0818277693699113,0.06829861341955597,0.05360748678424244,0.17023593752752114,0.08970901813550523,0.03180837235497108,0.053079204555621554,1
2,0.7821687592223596,0.4595929689915127,0.69089995915538,0.553673241541393,0.24568079188784187,0.7135592895277594,0.2650739855630859,0.2706840814082321,0.410462923985605,0.09360890971239992,0.10199639840859635,0.15077600753066178,0.061521813126867844,0.11670667190557946,0.11530147922301331,0.09901923791604632,0.08379410303114065,0.08209434299505651,0.043307575566698564,0.07351132941731789,0.08714993669350675,0.011838826900340937,0.09363709530881613,0.1437478023257351,0.06431602204013503,0.07253333265969758,0.06599269896759422,0.09120134211530688,0.0971562959569252,0.1384933670925822,0.12906796414534594,0.09988915138433567,0.09488471860722184,0.04212362699443203,0.08139982433616125,0.12047861910701546,0.029474732213990957,0.10400879350800117,0.13324013016368494,0.06716920502670139,0.042047351179342725,0.04206460588904748,1
3,0.8315882824100539,0.49507706114662237,0.7478763165841064,0.554415110945619,0.2588759393516069,0.7528059012265096,0.292141245472701,0.2796491580669267,0.4492079930710844,0.0836588607929892,0.10999054998188422,0.15995058272790325,0.13213914207790375,0.13878246503044414,0.18809736994956047,0.08580979688477793,0.0662109579904757,0.11793205978542731,0.0965318966912096,0.07689792918985427,0.1272976408649427,0.0864037639268125,0.14254017733749075,0.14957291113005888,0.06757125267487024,0.07120257180458411,0.13912595426520824,0.14416112148150512,0.12871715175876774,0.1354863502705352,0.05980092586496614,0.07956982510482705,0.13261461524279258,0.06165584139899388,0.03220529165514014,0.12787002462987818,0.09502557044059881,0.10076341147201914,0.1500929740506713,0.02962457085370254,0.03320758206141233,0.053147351346076926,1
4,0.8614267970395288,0.490259218307453,0.7586967074375031,0.5754618539925327,0.2699208553949832,0.7681172327723845,0.2868104039602732,0.27657827024251985,0.4422472179471005,0.0937331521361668,0.11541293272425568,0.16088009674235687,0.1484033774449961,0.1924196946022107,0.20532651028848412,0.1326725977310123,0.10032940803345519,0.12363234353318231,0.1438657117577734,0.1092015773146954,0.12491741144912495,0.07660975971442723,0.1691045165094098,0.2106971988648713,0.0943451736385278,0.1414870798194457,0.14627557401175123,0.14842515648035817,0.17958357585870097,0.16898764736107894,0.13143258043822348,0.10648054250662746,0.1493147248417138,0.1086733955990608,0.11839984791570649,0.14303935423486647,0.11523599690164223,0.17617745675835736,0.17872126850869396,0.04203850909626309,0.11694506157862938,0.18009506222364632,1
5,0.9052078033912436,0.5085705964911794,0.7844677674354179,0.5552118239634266,0.28775667709969915,0.7996290419778115,0.3159472389679222,0.2927765762713387,0.4730184162880036,0.07958004731907688,0.12688383094586414,0.17387751129582063,0.1899223833809791,0.23040825276612964,0.22038205645426984,0.17427759164706488,0.11900464158821483,0.14756993084881836,0.16672060986086876,0.15392904751156636,0.17884263514914128,0.13677873932905435,0.18182032532031553,0.2667588360716303,0.08348725175511908,0.15396218987750201,0.1108734602788485,0.19061473789258299,0.2663452814602002,0.23282425575168494,0.1755039972588588,0.12635301398913107,0.11721151540628114,0.09977513551314153,0.18280996868466934,0.16273693493683686,0.17484887523238615,0.19368336342841927,0.2703282658504988,0.17484936770637238,0.18329752076564862,0.12215728921805735,1
0,0.9179024059875778,0.46795866585139545,0.5981224080454989,0.6243769522917215,0.3491669375749956,0.5309346261215494,0.2990063238078957,0.2654362326330776,0.34666426711268267,0.08922559761745173,0.13994208492752053,0.0980274733608395,-0.036315558228523434,-0.0444335506933278,-0.013729702451166583,-0.011761224599558855,-0.056058819486867514,0.010638409880058142,0.009944315085884533,0.04776112799907401,0.015102817164857006,0.05083642945117375,-0.02286463707189991,-0.002056513540921037,0.0018502105312162402,-0.016040643021620272,-0.07419086403554445,-0.026816164518375454,-0.03900032385023462,-0.03686713578875486,-0.010144971473536312,-0.05727635558816923,0.025112183418985586,0.07393602646339195,0.03907705195563347,-0.0069096293018414065,0.0436605111609881,-0.0387248114583826,0.015692022540125996,0.026337704573804143,-0.01753103435620103,-0.10716087951483129,2
1,1.043341476972089,0.5176607352924439,0.6641291879024666,0.6509834721014164,0.33523370540408587,0.5807125747262901,0.36354377269554666,0.2954179629542135,0.4001122859284749,0.09534176013594602,0.14257358162156672,0.104663297273089,0.04564202533521741,0.03621979896985442,0.07881690002240019,0.08684463341499186,-0.0030689105578024134,0.05235368802073509,0.0678648510589914,0.06184981766964412,0.08583222837862724,0.06453953681919503,0.016871518498135844,0.07237690999044646,0.017596390249520834,0.0642081412236242,-0.02291213017259043,0.05815807263337128,0.03824767439150692,0.12986460142887515,0.08571282434115629,0.00047792315097345476,0.06381944776502511,0.11509902722093757,0.07183351254810265,0.06237085538884548,0.08557512032635212,0.019607796694929798,0.11069479224376162,-0.003420136047316807,0.14844158581323946,-0.018687498988910957,2
2,1.1139853155246207,0.5488671813712509,0.7205340630907514,0.6707578544637921,0.3499452288275844,0.6174587525354248,0.41261870893245095,0.3140545531046919,0.4287373990207154,0.08972107145319817,0.15273305118339406,0.11732817509354479,0.06878188435872713,0.10369875656486231,0.11368809310336117,0.11372054197366317,0.05245047393056139,0.08687974749028943,0.1065574245874878,0.14991359026121306,0.08551829354553879,0.06672683851546679,0.057482062762715856,0.09755594131631698,0.0835212438502039,0.08135443107376499,0.07163738162596803,0.06573459254020647,0.10728594329599954,0.06580615115055245,0.11225708786776799,0.03483615468125837,0.09157585922632054,0.11549784142634381,0.17144857853078174,0.07879741340094248,0.05388744717847711,0.06576332224766915,0.08810620286826804,0.061146051451267405,0.009657666708596694,0.08082170266156476,2
3,1.1657134426318758,0.597310438832769,0.7738412680518137,0.6805424015428013,0.3763208650185905,0.6504393002116003,0.4372361276481035,0.3530823748758796,0.453525304089935,0.10614014622888322,0.16043829993397707,0.1318856408762443,0.12450826758212767,0.1329907530274176,0.18276857369665636,0.16297705287688763,0.07508035324279788,0.13225991535328757,0.1287388024209167,0.16123322781545762,0.16383206667578312,0.10664868144707641,0.150742744119111,0.11993446459669097,0.07700273038186763,0.11034718990981401,0.10034116074197622,0.12644039428909343,0.15333477097165218,0.18906110701620316,0.1993380031639111,0.05710867417919612,0.12249818183118337,0.1346812891349813,0.128030232175365,0.18223454888809523,0.10699803676524425,0.17597085325596196,0.10271738576047562,0.0856093247858807,0.10412913816259975,0.09170767305541215,2
