generation,h2_HE_edu,h2_HE_height,h2_HE_wealth,h2_true_edu,R2_edu_from_edu_PGI,R2_edu_from_height_PGI,h2_true_height,R2_height_from_edu_PGI,R2_height_from_height_PGI,h2_true_wealth,R2_wealth_from_edu_PGI,R2_wealth_from_height_PGI,var_edu,var_height,var_wealth,r_score_edu_height,r_score_edu_wealth,r_score_height_wealth,rg_HE_edu_height,rg_HE_edu_wealth,rg_HE_height_wealth,r_beta_edu_height,r_beta_edu_wealth,r_beta_height_wealth,seed
0,0.010007569730456507,0.5972666637913143,-0.0005561465521527248,0.009789785189318964,0.010233522685535344,1.2915419067622003e-06,0.5986758152754728,1.3438365856122889e-05,0.6032517800332601,0.0,1.8776704410952696e-07,1.4546859990961392e-06,1.0029053702987678,1.0050970484737418,0.995971492462963,0.0030293864951991484,,,-0.004576844022974729,-0.10720034145031482,-0.06336143579044884,0.005136964240821942,-0.009645491172408309,-0.008062451340723904,1
1,0.036365533140761575,0.6486953335583616,0.012920698972217377,0.0075815925805340694,0.018680253220819336,0.012141951059290964,0.615438839463883,3.142515630597568e-05,0.616250611881207,0.0,0.00010712635275942047,0.0071327567010452675,1.2967213382204632,1.040752849496977,1.1319366427050246,0.01183871874603752,,,0.5952558856005244,0.6951558018080436,0.7627754189725372,0.5033907172871565,0.6117393424249101,0.5189455661095826,1
2,0.05359277747726026,0.6706192849188021,0.025234832393281958,0.004844000215040362,0.017886926524830482,0.025079189229361733,0.6221274278041388,0.00026677621441854063,0.621234996508377,0.0,0.0004297810354619342,0.015575122435015826,2.021939448755979,1.0528680176219065,1.2752346429809909,0.01647006740816195,,,0.7243968018920746,0.8652423209745862,0.8221779551181964,0.642836897752618,0.802150714943669,0.6529218433981675,1
3,0.06705701583070449,0.6830028774357164,0.036440418102452854,0.0035209087657544547,0.016338127153549473,0.036237277794310956,0.6235781977377552,0.00014078086233547968,0.6263912035900702,0.0,0.0006547806368997894,0.023999949576375995,2.7764110040467798,1.0634531901513986,1.4062491948609481,0.014736999624087813,,,0.7836103434721257,0.9164823455319763,0.8601468228103808,0.7138405498830004,0.8717535738765215,0.728994269331155,1
4,0.07620893893384979,0.6781924493853728,0.04413934403049593,0.0028618056585100263,0.014729141573234983,0.043579075155158443,0.6260327486527569,0.000167066093460734,0.6212960671932266,0.0,0.0007920951050106038,0.03031283905572201,3.4608606836937534,1.0598030093957005,1.5160656417214453,0.016165477195397286,,,0.8047442725934282,0.941774249614779,0.8748592281165988,0.7425591527969894,0.9033590518740533,0.7597159617628603,1
5,0.0821183037331424,0.682164830728987,0.048727442586000216,0.0024331168145499942,0.013259663415044918,0.049486559351576226,0.6266239584032609,0.00013321881407938715,0.6235731974592746,0.0,0.0007130254127838484,0.034229326596815234,4.054964260804054,1.0612881251574375,1.600380016076396,0.017567643004531754,,,0.8265530634415328,0.9510690195474657,0.8873700911302138,0.7632936594463278,0.9158044236705927,0.7766903505561076,1
0,0.009907366038945107,0.5961732965230384,0.0006407898084027253,0.01019537749377984,0.00990032217878371,2.4141856670385475e-06,0.5942328207948465,0.00015993768960565713,0.5955271949408293,0.0,6.948842812758157e-07,2.051371076808867e-05,0.9968395237922735,0.9908731671594802,1.0017645586205142,-0.014478753144316476,,,-0.014360586280386,-0.052865036026936346,0.15312533698690148,-0.019111166438868305,-0.00503588433748434,0.03557755157261497,2
1,0.03759731214868162,0.6466875704590871,0.013480121440043907,0.00785113306508981,0.018538080037336972,0.011969670629020235,0.6098180834165711,3.634419250363375e-05,0.6107026455124566,0.0,4.152326001200735e-05,0.007071613775250409,1.2926901277034666,1.019649296872344,1.1363028289768675,-0.010381118828295401,,,0.5930670551895049,0.6856386071015784,0.7484461960022915,0.493667996040859,0.6105814621785532,0.5126561296198178,2
2,0.05598329077085868,0.6556779679793123,0.026874592704693823,0.005034465715516176,0.016493142853399315,0.024861217510205685,0.6153242858930991,1.2707329196917639e-05,0.6106228136764287,0.0,0.00020315217156452984,0.016778931505533015,2.0195911467442205,1.0269453635928323,1.284885496073246,-0.010187273152085926,,,0.7041122193192423,0.8664054242224427,0.8258780830695613,0.6213245276546195,0.8093333355890134,0.6578457107942052,2
3,0.06704361308513623,0.668690921559522,0.036865820244477605,0.0036607082114796553,0.01527997473841415,0.03504793867101707,0.6164199003592993,2.4849370052080235e-05,0.6140980407265231,0.0,0.0004527936130663758,0.02389679868103063,2.792767127042285,1.039622592045018,1.407816556907465,-0.003678212582250122,,,0.7647335977122138,0.9111420937128735,0.8478806425310246,0.6932903774785334,0.8656715634487844,0.7117189182602064,2
